
## Per-Detector Timing

| Rank | Detector | Total ms | Calls | Avg ms | % Scan |
|---:|---|---:|---:|---:|---:|
| 1 | PerfHotspots | 12349 | 13355 | 0,92 | 10,4% |
| 2 | DfmAnalysis | 11417 | 13355 | 0,85 | 9,6% |
| 3 | UninitVar | 9629 | 13355 | 0,72 | 8,1% |
| 4 | UseAfterFree | 8444 | 6772 | 1,25 | 7,1% |
| 5 | VisibilityCheck | 8237 | 13355 | 0,62 | 6,9% |
| 6 | RestHttpSecurity | 7539 | 8305 | 0,91 | 6,4% |
| 7 | DuplicateBlock | 6503 | 13355 | 0,49 | 5,5% |
| 8 | FloatEquality | 6294 | 4331 | 1,45 | 5,3% |
| 9 | TautologicalBoolExpr | 3113 | 13355 | 0,23 | 2,6% |
| 10 | IntegerOverflow | 2932 | 1675 | 1,75 | 2,5% |
| 11 | CommentedOutCode | 2309 | 13355 | 0,17 | 1,9% |
| 12 | NestedRoutine | 2282 | 13355 | 0,17 | 1,9% |
| 13 | FormatMismatch | 1604 | 13355 | 0,12 | 1,4% |
| 14 | LowercaseKeyword | 1566 | 13355 | 0,12 | 1,3% |
| 15 | InsecureRandom | 1350 | 578 | 2,34 | 1,1% |
| 16 | RedundantBoolean | 1344 | 13355 | 0,10 | 1,1% |
| 17 | CompilerDirectiveScope | 1131 | 10493 | 0,11 | 1,0% |
| 18 | PointerSubtraction | 1092 | 2441 | 0,45 | 0,9% |
| 19 | NilComparison | 1064 | 13355 | 0,08 | 0,9% |
| 20 | UnusedRoutine | 1058 | 13355 | 0,08 | 0,9% |
| 21 | HardcodedString | 1046 | 13355 | 0,08 | 0,9% |
| 22 | LengthUnderflow | 1037 | 5947 | 0,17 | 0,9% |
| 23 | MoveSizeOfPointer | 978 | 2257 | 0,43 | 0,8% |
| 24 | VirtualCallInCtor | 954 | 13355 | 0,07 | 0,8% |
| 25 | StringFromPointer | 939 | 2344 | 0,40 | 0,8% |
| 26 | TodoComment | 934 | 1571 | 0,59 | 0,8% |
| 27 | CognitiveComplexity | 934 | 13355 | 0,07 | 0,8% |
| 28 | EmptyInterface | 910 | 13355 | 0,07 | 0,8% |
| 29 | SetLengthAppendInLoop | 902 | 1738 | 0,52 | 0,8% |
| 30 | AttributeMisalignment | 891 | 10471 | 0,09 | 0,8% |
| 31 | WithStatement | 872 | 8949 | 0,10 | 0,7% |
| 32 | ConcurrencyExt | 843 | 1121 | 0,75 | 0,7% |
| 33 | UnusedPrivateMethod | 784 | 13355 | 0,06 | 0,7% |
| 34 | SQLInjection | 763 | 13355 | 0,06 | 0,6% |
| 35 | UnusedParameter | 761 | 13355 | 0,06 | 0,6% |
| 36 | TObjectListWithoutOwnership | 712 | 645 | 1,10 | 0,6% |
| 37 | AnonMethodCaptureLoopVar | 702 | 11403 | 0,06 | 0,6% |
| 38 | BeginEndRequired | 676 | 13355 | 0,05 | 0,6% |
| 39 | HardcodedSecret | 566 | 13355 | 0,04 | 0,5% |
| 40 | ReversedForRange | 565 | 1169 | 0,48 | 0,5% |
| 41 | AttributeDuplicate | 557 | 10471 | 0,05 | 0,5% |
| 42 | SourceEncoding | 556 | 13355 | 0,04 | 0,5% |
| 43 | Leak | 535 | 13355 | 0,04 | 0,5% |
| 44 | BooleanPropertyNaming | 532 | 8204 | 0,06 | 0,4% |
| 45 | DateFormatSettings | 529 | 13355 | 0,04 | 0,4% |
| 46 | GetMemWithoutFreeMem | 499 | 731 | 0,68 | 0,4% |
| 47 | UnpairedLock | 480 | 612 | 0,78 | 0,4% |
| 48 | LargeClass | 438 | 13355 | 0,03 | 0,4% |
| 49 | RedundantJump | 400 | 13355 | 0,03 | 0,3% |
